nonzero-coefficients:
value,lambdaA1,lambdaA2,lambdaB1,lambdaB2,lambdaAB1,lambdaAB2,lambdaAB3,lambdaAB4,a1,a2,b1,b2,c1,c2,c3,c4,T(1;1),T(1;2),T(2;1),T(2;2),u(1),u(2),v(1),v(2),w(1),w(2),w(3),w(4)
1,-1,1,-1,1,2,0,0,-2,1,-1,1,-1,2,0,0,-2,1,2,3,4,1,2,1,2,1,2,3,4
1,-1,1,1,-1,2,0,-2,0,1,-1,1,-1,2,0,0,-2,1,2,3,4,1,2,2,1,1,2,4,3
1,-1,1,1,-1,0,2,0,-2,1,-1,1,-1,2,0,0,-2,1,2,3,4,1,2,2,1,2,1,3,4
1,1,-1,-1,1,2,0,-2,0,1,-1,1,-1,2,0,0,-2,1,2,3,4,2,1,1,2,1,2,4,3
1,1,-1,-1,1,0,2,0,-2,1,-1,1,-1,2,0,0,-2,1,2,3,4,2,1,1,2,2,1,3,4
2,1,-1,1,-1,0,2,-2,0,1,-1,1,-1,2,0,0,-2,1,2,3,4,2,1,2,1,2,1,4,3
1,-1,1,0,0,1,1,-1,-1,1,-1,0,0,1,1,-1,-1,1,2,3,4,1,2,1,2,1,2,3,4
2,1,-1,0,0,1,-1,1,-1,1,-1,0,0,1,1,-1,-1,1,2,3,4,2,1,1,2,1,3,2,4
1,-1,1,-1,1,2,0,0,-2,1,-1,1,-1,2,0,0,-2,1,3,2,4,1,2,1,2,1,2,3,4
1,-1,1,1,-1,2,0,-2,0,1,-1,1,-1,2,0,0,-2,1,3,2,4,1,2,2,1,1,2,4,3
1,-1,1,1,-1,0,2,0,-2,1,-1,1,-1,2,0,0,-2,1,3,2,4,1,2,2,1,2,1,3,4
1,1,-1,-1,1,2,0,-2,0,1,-1,1,-1,2,0,0,-2,1,3,2,4,2,1,1,2,1,2,4,3
1,1,-1,-1,1,0,2,0,-2,1,-1,1,-1,2,0,0,-2,1,3,2,4,2,1,1,2,2,1,3,4
2,1,-1,1,-1,0,2,-2,0,1,-1,1,-1,2,0,0,-2,1,3,2,4,2,1,2,1,2,1,4,3
1,0,0,-1,1,1,1,-1,-1,0,0,1,-1,1,1,-1,-1,1,3,2,4,1,2,1,2,1,2,3,4
2,0,0,1,-1,1,-1,1,-1,0,0,1,-1,1,1,-1,-1,1,3,2,4,1,2,2,1,1,3,2,4
