Runtime for calculating the set of shuffles corresponding to a vector fo multiplicities with a fixed sum

size max-runtime-microsec
0 10
1 8
2 10
3 263
4 975
5 3615
6 19081
7 26244
8 894332
size total-runtime-microsec
0 10
1 8
2 19
3 495
4 7878
5 98498
6 396083
7 1286159
8 40231518
size runtime-microsec
0 10
1 8
2 9
2 10
3 9
3 263
3 93
3 96
3 17
3 17
4 24
4 786
4 619
4 707
4 654
4 975
4 322
4 633
4 255
4 258
4 345
4 350
4 252
4 337
4 185
4 204
4 112
4 114
4 186
4 273
4 109
4 112
4 30
4 36
5 10
5 1436
5 1446
5 1823
5 2055
5 3615
5 1320
5 3049
5 1508
5 1638
5 2824
5 3141
5 1703
5 2440
5 2141
5 2461
5 1752
5 2848
5 2296
5 2782
5 1916
5 2164
5 1728
5 2339
5 469
5 1073
5 1218
5 1605
5 1575
5 2587
5 419
5 984
5 369
5 406
5 697
5 710
5 738
5 1131
5 695
5 671
5 673
5 709
5 931
5 1545
5 705
5 713
5 783
5 789
5 396
5 982
5 563
5 649
5 1059
5 1496
5 347
5 935
5 314
5 301
5 579
5 594
5 294
5 414
5 256
5 249
5 200
5 206
5 478
5 669
5 408
5 402
5 296
5 288
5 369
5 618
5 546
5 622
5 565
5 783
5 325
5 493
5 234
5 235
5 317
5 318
5 243
5 311
5 176
5 190
5 137
5 143
5 189
5 247
5 138
5 143
5 83
5 83
5 280
5 508
5 441
5 516
5 508
5 688
5 243
5 485
5 190
5 196
5 272
5 248
5 185
5 243
5 134
5 146
5 82
5 82
5 132
5 195
5 80
5 81
5 25
5 25
6 13
6 1939
6 1725
6 2698
6 3198
6 6089
6 1627
6 4999
6 2802
6 3450
6 6862
6 15565
6 3329
6 5713
6 8433
6 5314
6 4288
6 6896
6 3264
6 6781
6 13680
6 7490
6 6799
6 11354
6 956
6 2444
6 2504
6 3746
6 4728
6 9690
6 1164
6 7340
6 1181
6 1242
6 2987
6 3245
6 2450
6 4138
6 2799
6 2920
6 3621
6 3889
6 3778
6 19081
6 2457
6 2673
6 3994
6 4604
6 699
6 1829
6 1180
6 4796
6 2810
6 4289
6 1011
6 5638
6 1234
6 1139
6 8844
6 3080
6 946
6 1347
6 1232
6 1348
6 1002
6 1313
6 8240
6 3110
6 2602
6 2876
6 17179
6 2442
6 634
6 11529
6 9115
6 360
6 365
6 589
6 209
6 425
6 233
6 251
6 408
6 443
6 229
6 339
6 304
6 359
6 252
6 336
6 201
6 346
6 278
6 401
6 268
6 396
6 164
6 320
6 307
6 423
6 414
6 719
6 232
6 527
6 244
6 264
6 417
6 485
6 244
6 379
6 324
6 360
6 287
6 279
6 134
6 233
6 187
6 215
6 183
6 247
6 25
6 58
6 57
6 85
6 102
6 216
6 82
6 144
6 75
6 90
6 177
6 238
6 85
6 156
6 151
6 194
6 155
6 260
6 133
6 252
6 233
6 315
6 292
6 600
6 24
6 54
6 54
6 83
6 97
6 205
6 22
6 52
6 22
6 21
6 43
6 45
6 44
6 71
6 42
6 41
6 53
6 53
6 67
6 152
6 59
6 60
6 112
6 105
6 37
6 101
6 61
6 74
6 137
6 200
6 36
6 92
6 35
6 35
6 75
6 75
6 44
6 58
6 41
6 40
6 42
6 42
6 85
6 126
6 80
6 75
6 81
6 97
6 49
6 94
6 90
6 115
6 9404
6 393
6 69
6 155
6 64
6 88
6 130
6 118
6 97
6 171
6 91
6 91
6 110
6 107
6 101
6 197
6 93
6 93
6 126
6 126
6 82
6 216
6 203
6 284
6 298
6 554
6 82
6 210
6 52
6 45
6 69
6 64
6 74
6 85
6 55
6 56
6 57
6 57
6 68
6 114
6 57
6 56
6 79
6 67
6 21
6 46
6 46
6 78
6 93
6 164
6 29
6 74
6 32
6 34
6 75
6 83
6 62
6 154
6 147
6 125
6 130
6 161
6 134
6 282
6 176
6 195
6 270
6 328
6 32
6 68
6 75
6 104
6 126
6 260
6 27
6 63
6 24
6 23
6 54
6 63
6 66
6 88
6 54
6 52
6 68
6 62
6 85
6 176
6 73
6 74
6 127
6 121
6 23
6 67
6 33
6 35
6 73
6 85
6 26
6 58
6 21
6 21
6 49
6 57
6 22
6 26
6 20
6 26
6 19
6 17
6 39
6 51
6 36
6 36
6 30
6 35
6 43
6 71
6 53
6 61
6 78
6 94
6 37
6 73
6 38
6 35
6 48
6 50
6 37
6 38
6 29
6 30
6 35
6 28
6 41
6 45
6 36
6 36
6 29
6 29
6 59
6 109
6 72
6 87
6 114
6 144
6 47
6 97
6 39
6 42
6 71
6 68
6 45
6 48
6 40
6 38
6 30
6 30
6 59
6 67
6 51
6 50
6 37
6 40
6 27
6 67
6 54
6 60
6 110
6 164
6 42
